Channel,Watch time,Stream time,Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
BarbarousKing,513684495,193905,18371,2649,162945,7320,5764518,TRUE,TRUE,English
IWillDominate,509693595,82605,24568,6170,823744,40452,8950108,TRUE,FALSE,English
PUBG,508285035,49260,54337,10318,886341,189372,43268933,TRUE,FALSE,English
supertf,506651580,127785,12125,3964,335003,196466,7461121,TRUE,FALSE,English
FENGRUSH,506610075,109920,13363,4608,108376,17898,47158641,TRUE,FALSE,English
Werlyb,503700390,88650,76653,5681,531789,382587,17081652,TRUE,FALSE,Spanish
울프 (lol_woolf),503384775,49920,47010,10083,339399,47182,9672294,TRUE,FALSE,Korean
H2P_Gucio,501905295,138465,16024,3624,256312,51156,12219965,TRUE,FALSE,Polish
iiTzTimmy,500229630,157710,54842,3171,697535,602034,11600882,TRUE,FALSE,English
Vinesauce,497994810,74535,14032,6681,512287,86182,5092962,TRUE,TRUE,English
KingGeorge,497276430,145485,65368,3418,949966,239529,7111832,TRUE,FALSE,English
RiotGamesJP,496623585,36510,96114,13602,167723,35706,15839636,TRUE,FALSE,Japanese
ziGueira,495751605,118170,21804,4195,654753,183945,10350852,TRUE,FALSE,Portuguese
MenosTrece,495333675,120450,45464,4112,857877,430898,14332361,TRUE,FALSE,Spanish
daltoosh,493050945,141510,16733,3484,427759,225141,7344998,TRUE,FALSE,English
PAGO3,491353125,129855,15154,3783,573094,163152,26712037,TRUE,FALSE,Polish
김진우 (jinu6734),490514850,101580,14881,4828,308325,45100,10062938,FALSE,FALSE,Korean
탬탬버린 (2chamcham2),490493520,91230,15721,5376,545594,70640,14769031,TRUE,FALSE,Korean
Deadlyslob,489955590,122475,104568,4000,353466,72428,5159981,TRUE,FALSE,English
EASPORTSFIFA,487635915,29565,324655,16493,1903064,654296,10388816,TRUE,FALSE,English
masondota2,486999300,110445,11948,4409,162741,68877,7117942,TRUE,TRUE,English
hJune,485747610,93510,54263,5194,429823,304875,9132893,TRUE,TRUE,English
DeuceAce,484646670,87030,21583,5568,148053,131742,7262605,FALSE,TRUE,English
MatteoHS,483781545,433035,9330,1117,710357,341489,10681833,TRUE,FALSE,English
Annoying,480364275,114600,17517,4191,582080,220196,4236820,TRUE,FALSE,English
RiotGamesRU,479946420,36000,109522,13331,202406,55850,8589132,TRUE,FALSE,Russian
LosPollosTV,477988305,63285,54323,7552,580444,133192,9794412,TRUE,FALSE,English
狂暴小建 (a541021),477827310,167115,9312,2859,215695,10692,17722681,TRUE,FALSE,Chinese
singsing,473489115,140325,10199,3374,589935,19664,7671909,TRUE,TRUE,English
Smurfdomuca,470994270,64500,26614,7302,378665,286147,10393944,TRUE,FALSE,Portuguese
resttpowered,470407260,139215,14112,3378,305926,229814,12844307,TRUE,FALSE,Slovak
yourragegaming,469396275,56985,49804,8237,555678,407176,4250247,FALSE,TRUE,English
Steelmage,464143800,171060,15866,2713,92869,40808,7725184,TRUE,FALSE,English
sujagg,463275015,153900,33258,3010,789315,731053,17647716,TRUE,FALSE,Spanish
ESAMarathon,461860875,504105,32047,916,252139,18498,27611065,TRUE,FALSE,English
Hype,457393920,62805,53021,7282,382896,272128,13337437,TRUE,TRUE,Turkish
DesertHeartsRecords,457044015,135495,33862,3373,129500,88614,101271827,TRUE,FALSE,English
FPSThailand,455038455,150120,29838,3031,441881,63924,19457142,TRUE,TRUE,Thai
TubboLIVE,454929915,16185,95734,28108,1379617,1370821,8623143,TRUE,FALSE,English
김나성 (naseongkim),454683270,224700,6294,2023,122657,24077,11885453,TRUE,FALSE,Korean
Xposed,451487010,144075,18495,3133,346809,164800,6272889,TRUE,TRUE,English
FaZeBlaze,450182115,128100,18936,3514,886308,789688,6861804,TRUE,FALSE,English
HoneyMad,449688840,57345,35127,7841,607041,88603,15117680,TRUE,TRUE,Russian
Mithrain,448422660,93105,17005,4816,1488670,284903,23855424,TRUE,FALSE,Turkish
LLA,445982775,46845,71260,9520,360410,210628,12578217,TRUE,FALSE,Spanish
Sapnap,445213665,13590,285877,32760,2237931,2215208,8693584,TRUE,FALSE,English
Pieface23,444425745,95745,21393,4641,514080,299653,4562515,TRUE,FALSE,English
itsRyanHiga,442834215,122850,48953,3604,596320,539700,10193648,FALSE,FALSE,English
AnthonyZ,442788165,178965,26304,2474,358519,162004,8355699,TRUE,FALSE,English
GingiTV,440714730,93090,63160,4734,240149,99177,10322481,TRUE,TRUE,English
ANGRYPUG,440223750,190260,21892,2313,433512,73515,6299615,TRUE,TRUE,English
ElcanaldeJoaco,439969575,29790,121885,14769,1341612,831267,11124765,TRUE,TRUE,Spanish
pizfn,439708395,160125,19979,2746,350486,251375,12632601,TRUE,FALSE,Italian
natalan,439447500,109965,9561,3996,1049411,706127,9228963,TRUE,TRUE,Spanish
ReventXz,439364535,90615,47282,4848,787672,482410,17313116,TRUE,FALSE,Spanish
crokeyz,439005855,160245,6271,2739,86260,25826,4947577,TRUE,FALSE,English
Ash_on_LoL,438365370,83100,62182,5275,673991,583540,11693508,TRUE,FALSE,English
Shotz,437475570,132690,14740,3296,231265,80485,6385594,TRUE,TRUE,English
Shaunz,435803055,91440,20861,4766,196468,60450,12926258,TRUE,FALSE,French
peterparkTV,435305805,86130,31042,5054,503089,403021,9534481,TRUE,TRUE,English
aXtLOL,434948925,109395,22518,3975,810528,64276,10772905,TRUE,FALSE,Portuguese
GothamChess,433382910,97875,28659,4427,456855,431518,31624821,TRUE,FALSE,English
Mayichi,433368900,113190,34923,3828,995779,929032,22699690,TRUE,FALSE,Spanish
Sanchovies,433196670,177915,11795,2434,278346,162088,8214562,TRUE,FALSE,English
Staryuuki,432703230,91875,16242,4709,1823217,1518102,19513551,TRUE,FALSE,Spanish
TheRealzBlueWater,431874255,340935,36443,1266,46021,26929,175652,TRUE,FALSE,English
DreadzTV,431246715,108855,28250,3961,665417,2536,16446837,TRUE,TRUE,Russian
SkipNhO,431193885,134265,19511,3211,1176496,137286,12532192,TRUE,FALSE,Portuguese
polsatgames,431129985,79335,37115,5434,213323,91447,26868474,TRUE,FALSE,Polish
Timmac,430698990,209520,27668,2055,492051,101155,6700918,TRUE,TRUE,English
포셔 (portialyn),430634070,156000,7803,2760,66265,31373,6184388,TRUE,FALSE,Korean
BobbyPoffGaming,430003125,246960,20664,1741,200406,101293,3047950,TRUE,TRUE,English
오킹 (obm1025),429263145,126000,10821,3406,547218,172556,11226016,TRUE,FALSE,Korean
PUBGKorea,429199770,43530,56482,9859,225015,121198,70389257,TRUE,FALSE,Korean
Conterstine,429173925,112125,18090,3827,619276,365080,9566098,TRUE,FALSE,Spanish
dreamwastaken,427589520,5730,290972,74622,4689327,4530629,11698358,FALSE,FALSE,English
Towelliee,424509540,178905,19519,2372,709853,9315,12842795,TRUE,FALSE,English
Fundy,423586740,30660,188907,13815,1847231,1818668,12272218,TRUE,FALSE,English
JLBichouu,423436290,102690,35302,4123,407259,228501,7950100,TRUE,TRUE,French
Yogscast,420306075,353100,59035,1190,916892,-43917,14488578,TRUE,FALSE,English
똘똘똘이_ (jungtaejune),418571625,181755,11914,2302,137667,15915,12686157,TRUE,TRUE,Korean
Ray__C,417563310,153780,88938,2715,317526,275702,7984643,TRUE,FALSE,English
DessT3,415784655,138660,10429,2998,199895,176908,8817649,TRUE,TRUE,Spanish
s1mple,414624660,20175,73680,20551,2471149,903522,30893443,TRUE,FALSE,English
modestal,414269835,48885,28931,8474,419302,137823,15574383,TRUE,FALSE,Russian
JustaMinx,413483835,100710,36099,4105,1482793,1351814,14172466,TRUE,FALSE,English
bateson87,412585485,111405,31180,3703,794090,226720,23843362,TRUE,FALSE,English
ONEEsports,412345335,19290,171848,21376,143181,117963,20443306,TRUE,FALSE,English
플러리 (flurry1989),410517000,117405,12084,3496,190165,27022,12283288,TRUE,FALSE,Korean
CSRuHub,410181525,98715,102390,4155,633588,154859,16391038,TRUE,FALSE,Russian
RaulZitoYT,408902415,492045,8461,831,115625,66385,6686116,TRUE,FALSE,Portuguese
GernaderJake,408069735,158460,30618,2575,360501,83029,12153104,TRUE,FALSE,English
ChilledChaos,407048790,94650,23613,4300,344078,125197,5142408,TRUE,FALSE,English
VELLOSO,406502775,453765,3176,895,100659,97656,4983333,TRUE,FALSE,Portuguese
MarkiLokurasY,406236825,116700,20837,3481,1425440,717641,18604445,TRUE,FALSE,Spanish
SmallAnt,406197075,83340,14524,4873,663759,476098,7054140,TRUE,FALSE,English
ilMasseo,404583450,90675,43687,4461,1305303,789924,10318331,TRUE,FALSE,Italian
chocoTaco,403415985,152205,105530,2650,1216188,-120305,16076925,TRUE,FALSE,English
BlackUFA,403173765,101535,12553,3970,288945,19054,15387340,TRUE,FALSE,Russian
Xiuder_,402082560,167850,21024,2395,607096,369785,12919853,TRUE,FALSE,Italian
SteveSuptic,399856725,78555,16941,5090,242194,224814,7254073,TRUE,TRUE,English
Slushpuppy,399789615,156600,118125,2552,153866,72806,5530554,TRUE,FALSE,English
Felps,399776790,119940,11331,3333,1061428,291688,8746454,TRUE,FALSE,Portuguese
IzakOOO,399608775,114000,101889,3505,1613611,174817,17692044,TRUE,FALSE,Polish
imaqtpie,398063550,164250,10717,2423,2619658,-40441,9183137,TRUE,FALSE,English
TheStockGuy,397926660,76500,72935,5201,259613,227243,4989775,TRUE,FALSE,English
Smoke,397368210,104865,30715,3789,225879,70322,4386763,TRUE,FALSE,English
懶貓 (failverde),397130505,173130,14610,2293,195074,30703,13358956,TRUE,FALSE,Chinese
Dmitry_Lixxx,396485835,78015,26715,5082,568945,348200,20382588,TRUE,FALSE,Russian
RebirthzTV,396325845,111360,12499,3558,328810,59072,6265337,TRUE,FALSE,Thai
BTSBrasilFPS,393994590,132165,126254,2981,271003,224007,8227064,TRUE,FALSE,Portuguese
Vader,393643290,81720,10144,4816,427841,9614,4106819,TRUE,FALSE,English
k1ng,392743620,38385,51864,10231,1530102,1051092,18032106,TRUE,FALSE,Spanish
SNEUX,391703280,61095,54727,6411,348953,215390,8448436,TRUE,FALSE,Spanish
Northernlion,391588545,67245,25360,5823,428972,74588,5807273,TRUE,FALSE,English
sips_,391262820,104280,12107,3752,504787,87415,5670333,TRUE,TRUE,English
kyo1984123,390954285,223635,5967,1748,156858,19111,15393768,TRUE,TRUE,Chinese
Giantwaffle,390805740,158070,8042,2472,867878,-24175,5155508,TRUE,FALSE,English
Flight23white,390122775,18855,106892,20690,1653746,1030355,8982053,TRUE,FALSE,English
Albralelie,389577750,157875,31680,2467,438956,273038,10884686,TRUE,FALSE,English
Peereira7,388382475,114675,70575,3386,850826,610944,17533455,TRUE,TRUE,Spanish
도현_ (d_obby),387271170,151125,15633,2562,233795,97371,13363269,TRUE,FALSE,Korean
Falcodrin,387187785,362850,12179,1067,57113,56890,2287989,FALSE,FALSE,English
殺梗 (xargon0731),386738700,154725,7817,2499,298323,18013,18651212,TRUE,FALSE,Chinese
SkipNhOLIVE,385210695,402315,13255,957,445265,157869,4565566,TRUE,FALSE,Portuguese
hastad,384959280,165825,8869,2321,983513,187664,13144441,TRUE,TRUE,Portuguese
RevedTV,384836820,80610,75163,4774,657687,481602,13351924,TRUE,FALSE,German
loud_thurzin,384700785,38970,47796,9871,1206440,1172507,5357421,TRUE,FALSE,Portuguese
velox,384557655,123765,13553,3107,437869,231080,5282487,TRUE,FALSE,Italian
AsmodaiTV,384495555,145260,15747,2646,254466,10288,5890284,TRUE,FALSE,English
CDNThe3rd,383529105,133185,44336,2879,2008676,-40681,11151324,TRUE,FALSE,English
Posty,383149395,156495,45660,2448,318294,216182,7706827,TRUE,FALSE,English
RakanooLive,383084055,141075,22607,2715,1499149,417995,6960434,TRUE,FALSE,Arabic
sweetdreams,381780225,126825,15055,3010,326467,289625,8056142,TRUE,FALSE,English
철면수심 (109ace),380554095,153660,11058,2476,186533,28571,11099078,TRUE,FALSE,Korean
The_Happy_Hob,380203365,107025,12806,3552,245489,38555,5136458,TRUE,TRUE,English
orangemorange,379962795,120675,18387,3148,340760,94038,9140076,TRUE,TRUE,German
OGADotaPIT,379575300,39930,78693,9506,210233,72934,21151287,TRUE,FALSE,English
NateHill,378810555,117255,41610,3230,1590311,634001,16489659,TRUE,FALSE,English
T90Official,378776550,65400,62655,5791,215066,63220,6441982,TRUE,FALSE,English
Tonton,377635470,137985,14484,2736,261631,127836,16506196,TRUE,FALSE,French
WELOVEGAMES,375908235,117945,18495,3187,418979,15635,24452240,TRUE,FALSE,Russian
BigEx,375365055,145710,14876,2576,337293,105352,4369379,TRUE,FALSE,English
Elwind,375188865,51075,25670,7345,898099,231652,14570997,TRUE,FALSE,Turkish
NymN,374824830,116205,20918,3225,276995,55183,5025092,TRUE,TRUE,English
Payo,374742855,136065,15683,2754,222428,57747,9139832,TRUE,FALSE,English
RiotGamesTurkish,374528415,32235,63564,11618,761263,124830,16030877,TRUE,FALSE,Turkish
앰비션_ (lol_ambition),372792255,91530,16617,4072,426759,79907,13098816,TRUE,FALSE,Korean
SunBaconRelaxer,372407895,149505,9840,2490,66215,33756,3152887,TRUE,FALSE,English
BarcaGamer,371409825,117480,57917,3161,1556852,1172790,9769949,TRUE,FALSE,Spanish
LEGOO,370959270,65430,45511,5669,410165,393742,18725689,TRUE,TRUE,Turkish
aroyitt,370849005,55665,51965,6662,1355706,1309839,16513075,TRUE,FALSE,Spanish
CaptainPuffy,369752400,59250,107050,6240,1220401,1196823,9297922,TRUE,FALSE,English
liminhag0d,368203590,102750,61707,3583,377212,371086,12580902,TRUE,TRUE,Portuguese
lol_nemesis,367466625,82695,19286,4443,389003,227292,11017316,TRUE,FALSE,English
Vicens,366900555,65925,45460,5565,1524831,1026199,15348270,TRUE,FALSE,Spanish
JackManifoldTV,366881610,28635,136582,12812,1240752,1208691,10456742,TRUE,FALSE,English
이춘향 (leechunhyang),366869925,178365,11921,2056,206118,102688,13348948,TRUE,FALSE,Korean
sleepy,366727545,105570,13931,3473,517022,218397,5814724,TRUE,FALSE,English
iLame,366314745,222015,8225,1649,276810,53409,16277774,TRUE,TRUE,Russian
eldemente,366066810,61830,51264,5920,1285056,963285,9062827,TRUE,FALSE,Spanish
Th3Antonio,365748645,96075,38970,3806,359900,154360,11573551,TRUE,FALSE,Spanish
fl0m,365045325,183075,19873,1993,705528,75304,14535679,TRUE,FALSE,English
KYR_SP33DY,362766600,121680,9719,2981,756821,66967,3796157,TRUE,FALSE,English
NeVeR_LosEs,362072415,80355,14244,4505,226613,29001,12666399,TRUE,FALSE,Chinese
nerdstgamers,359760405,61995,58936,5803,249042,234925,11301005,TRUE,FALSE,English
bytarifaaa,359520600,28080,121009,12803,945286,897723,7892694,TRUE,FALSE,Spanish
VERNI_SHAVERMY,359257005,119775,10373,2999,142605,117140,12605235,TRUE,TRUE,Russian
RocketBeansTV,358753890,518490,6432,691,444886,33503,6521290,FALSE,FALSE,German
DatModz,358478010,222840,19171,1608,286432,19058,6320344,TRUE,FALSE,English
calango,357572655,103185,17148,3465,1166240,477027,10066472,TRUE,FALSE,Portuguese
木棉花官方頻道 (muse_tw),357345915,512955,5332,696,143941,33152,8553232,TRUE,FALSE,Chinese
JoshOG,357216525,141300,28435,2528,1711731,-36034,26484342,TRUE,FALSE,English
bysTaXx,357136605,52470,259210,6806,1493906,817867,13457868,TRUE,FALSE,Spanish
xChocoBars,357091365,97515,60017,3661,854801,293813,16320531,TRUE,FALSE,English
jovirone,356134425,80430,40367,4427,1151526,152092,14044045,TRUE,FALSE,Portuguese
TEBtv,355323105,124290,32608,2858,173987,120387,20015365,TRUE,FALSE,English
G4G_REVENANT,354793695,98625,14112,3597,356853,83271,11173617,TRUE,FALSE,Spanish
Low4n,354679080,165585,13003,2141,172946,100607,4959877,TRUE,TRUE,French
B1ackSai1s,354068640,343335,4578,1031,62977,48279,13028592,TRUE,FALSE,Russian
Masayoshi,352926450,80280,39134,4396,425862,350785,7805918,TRUE,FALSE,English
JoeWo,352263150,153255,33722,2298,343576,326767,7524787,TRUE,FALSE,English
FollowGrubby,352219050,150675,8243,2337,435411,7194,7247174,TRUE,FALSE,English
Loeya,351924345,131040,8127,2685,1418185,270946,18215104,TRUE,FALSE,English
인간젤리 (ses836),351748710,160155,22898,2196,131976,41846,11614578,TRUE,FALSE,Korean
Im_Dontai,351038115,47235,48317,7431,888708,655192,4540967,TRUE,FALSE,English
Diegosaurs,350320950,77400,16589,4526,588942,68076,4827460,TRUE,TRUE,English
cyr,349788660,168915,12359,2070,338483,166225,6536903,TRUE,TRUE,English
MrSoki,348889695,100740,95105,3463,590898,451476,8030151,TRUE,FALSE,Spanish
BurkeBlack,348655395,165435,10742,2107,278856,3890,5222632,TRUE,TRUE,English
just_ns,348507030,102780,21233,3390,381231,53794,13528511,TRUE,TRUE,Russian
boltz,348044565,76650,30646,4540,418399,256903,11764040,TRUE,FALSE,Portuguese
Minos,347544165,166290,24576,2089,268480,109448,5781842,TRUE,FALSE,French
loud_babi,347166090,47070,46251,7375,1167505,977652,6435744,TRUE,FALSE,Portuguese
Jasper7se,346708980,111975,20699,3096,117143,81001,7568685,TRUE,FALSE,Japanese
Aurateur,346149045,156600,5167,2210,148996,9720,3682682,TRUE,TRUE,English
ThomeFN,345093960,288330,24086,1196,418366,357455,10017321,TRUE,FALSE,Portuguese
Natsumiii,344276460,130185,39004,2644,416450,287620,9827841,TRUE,FALSE,English
超負荷 (sam1268),343804530,55905,15644,6149,173864,25687,9981342,TRUE,TRUE,Chinese
DavyJones,343754235,127725,48961,2691,1289730,462511,19229824,TRUE,FALSE,Portuguese
m0xyy,343122375,119595,17087,2869,591667,194215,6432481,TRUE,FALSE,English
boyMinORu,343104900,170415,33148,2013,419166,63906,18044872,TRUE,TRUE,Thai
StaysafeTV,342136470,139125,15065,2459,180976,37376,5808082,TRUE,TRUE,English
AlphaCast,341878770,89565,50263,3817,509185,117807,11690764,TRUE,FALSE,French
gratis150ml,340885710,222660,12465,1530,803065,88307,12566271,TRUE,FALSE,Portuguese
Grimmmz,340766475,196200,18955,1736,1015120,15811,7783019,TRUE,TRUE,English
zEkO,339840105,64665,23836,5255,1031505,439244,11147328,TRUE,TRUE,Spanish
Syndicate,339353355,93060,22900,3646,3125081,134797,6466858,TRUE,FALSE,English
Jay3,338847150,189300,11257,1790,287140,137488,5742544,TRUE,FALSE,English
c9judite,338221035,500115,7677,676,161715,59041,6409751,TRUE,FALSE,Portuguese
AgenteMaxo,338049090,55350,33061,6107,862498,809224,13143967,TRUE,FALSE,Spanish
Warframe,337825245,12810,346131,26371,1365520,290860,6923612,TRUE,FALSE,English
LeBouseuh,337472325,58170,132402,5801,1468935,553881,11501201,TRUE,FALSE,French
Mushway,337101840,97065,14917,3472,440966,192539,7185477,TRUE,TRUE,French
ricoy23,336747990,72930,59388,4617,192446,145784,7772750,TRUE,TRUE,Spanish
CoconutB,333852135,130785,45858,2552,348856,169903,6437874,TRUE,TRUE,English
Gabi,333508455,102735,23886,3246,551586,333531,11738399,TRUE,FALSE,Portuguese
BadBoyHalo,333175590,13800,187142,24143,1945387,1925109,7166252,TRUE,FALSE,English
옥냥이 (rooftopcat99),333099585,97410,15436,3419,258670,59532,9324916,TRUE,FALSE,Korean
다주 (dda_ju),332829690,121365,18680,2742,254312,68054,10807338,TRUE,FALSE,Korean
Repazmois,332313270,130935,50575,2538,584071,314068,6965190,TRUE,FALSE,German
쫀득이_ (pjs9073),332269770,108075,30813,3074,257605,87098,11482127,FALSE,FALSE,Korean
BruceDropEmOff,331945815,92340,13909,3594,231089,152233,2822005,TRUE,TRUE,English
miniminter,331562355,61980,28102,5349,1389102,635626,20935993,TRUE,FALSE,English
Japczan,331057140,74250,14502,4458,273657,241109,8294738,TRUE,FALSE,Polish
RTAinJapan,330383445,21180,64929,15598,114390,67087,4553064,TRUE,FALSE,Japanese
Loserfruit,329027535,110085,23481,2988,2553713,1250883,17989928,TRUE,FALSE,English
ElRichMC,328678905,45855,95938,7167,1004746,470360,11063030,TRUE,FALSE,Spanish
RobertoCein,328509990,110505,15249,2972,1474542,926554,7696582,TRUE,TRUE,Spanish
Fortnite,328264395,18225,64790,18011,4324836,1216779,12991791,TRUE,FALSE,English
MateoZ,327781170,136500,24215,2401,650065,488632,11038997,TRUE,FALSE,Spanish
agurin,327100410,161175,10786,2029,138160,68000,7097635,TRUE,FALSE,German
Anthony_Kongphan,326542635,153285,41350,2130,501931,50310,6360200,TRUE,FALSE,English
Daxak,326396820,99300,8921,3286,158385,77110,10142703,TRUE,FALSE,Russian
러너교 (runner0608),326323035,124320,11601,2624,210598,51519,9782546,TRUE,FALSE,Korean
Voyboy,326282685,79575,13811,4100,1339510,121051,7405922,TRUE,FALSE,English
MacieJay,325960485,131940,57523,2470,980240,181142,6149145,TRUE,FALSE,English
TrilluXe,325650465,114795,16006,2836,473559,70181,9177390,TRUE,FALSE,German
AussieAntics,324949095,150795,29174,2154,398926,283572,8568263,TRUE,FALSE,English
B0aty,324366090,122670,13709,2644,532402,18053,5889981,TRUE,TRUE,English
ALOHADANCETV,324355935,126030,29128,2573,596670,85029,15966089,TRUE,TRUE,Russian
Hayashii,323308320,83730,64020,3861,314637,191682,5076257,TRUE,TRUE,Portuguese
adolfz,322964115,68505,15000,4714,405436,135435,3140224,TRUE,TRUE,Portuguese
bt0tv,322821105,161145,27810,2003,252585,248525,11601151,TRUE,TRUE,Portuguese
Altair,322501590,165975,11549,1943,58178,19547,4851761,TRUE,TRUE,French
Veritas,320705100,120195,108443,2668,213841,50834,2811593,TRUE,FALSE,English
AvoidingThePuddle,320190990,80070,9951,3998,368547,45197,3672471,TRUE,TRUE,English
고차비 (kumikomii),320127600,165270,7306,1936,220107,51955,7939704,TRUE,FALSE,Korean
zackrawrr,320030340,48420,23819,6609,402516,394898,7723821,FALSE,FALSE,English
aminematue,319264080,60420,24904,5284,295758,226493,5286180,TRUE,FALSE,French
Pikabooirl,318659520,116985,16351,2723,329359,112959,7494180,TRUE,FALSE,English
피닉스박1 (xkwhd),317688420,160110,15829,1984,191008,57816,8497864,TRUE,FALSE,Korean
TheDarkness,316777095,138030,12365,2294,635019,128644,8079891,TRUE,FALSE,Portuguese
dopa24,315821940,42240,44307,7476,541543,372615,11223665,TRUE,FALSE,Korean
Nihachu,315226755,33255,126916,9479,1981971,1859897,11504605,TRUE,FALSE,English
Chap,315136695,126555,23633,2490,1342017,134001,8640627,TRUE,FALSE,English
HGmony,314954325,113865,7558,2766,29271,8230,157440100,FALSE,FALSE,Russian
Crystal_LoL,314804340,128055,7663,2458,250107,98316,7393453,TRUE,FALSE,Turkish
INSCOPE21TV,313734420,39390,37129,7964,909483,304244,9299061,TRUE,TRUE,German
Co1azo,313033410,199830,26471,1566,430515,341301,9470724,TRUE,FALSE,English
QuattroAce,312127965,163410,48810,1910,190417,66801,12414701,TRUE,FALSE,Russian
羅傑 (roger9527),311703345,47280,13261,6592,139355,11594,4766432,TRUE,FALSE,Chinese
QuickyBaby,311432430,113610,9168,2741,452934,42792,6392413,TRUE,FALSE,English
Zenon_OF,310435335,274065,8361,1132,569521,365652,7484533,FALSE,FALSE,Portuguese
Thebausffs,310166415,73965,18463,4193,330809,259306,7939033,TRUE,FALSE,English
Zerkaa,309168720,74040,16356,4175,910517,440314,14950619,TRUE,FALSE,English
xth0rek,308409210,72030,12542,4281,191822,133831,7140970,TRUE,FALSE,Polish
恭一郎 (dmf_kyochan),308336070,229335,8867,1344,122950,73359,6591271,TRUE,FALSE,Japanese
aXoZer,306480030,80685,56077,3798,704588,680522,9426035,TRUE,FALSE,Spanish
PaymoneyWubby,306161820,31575,33902,9696,465026,179705,4032901,TRUE,FALSE,English
aircool,305780100,143355,57779,2133,895503,790059,4756127,TRUE,FALSE,English
Jerma985,304720005,30885,47259,9866,559111,236005,4232179,TRUE,TRUE,English
KarmikKoala,304233555,119625,8754,2543,162143,31658,9772216,TRUE,FALSE,Russian
WillerZ,303899220,145320,34281,2091,163950,108797,4720041,TRUE,TRUE,English
Shiphtur,303502545,129210,22335,2348,757170,50621,6158448,TRUE,FALSE,English
jcorko_,302982810,91365,34875,3316,511999,427809,9352566,TRUE,FALSE,Spanish
NiceWigg,302393055,130350,11448,2319,342310,180069,4635580,TRUE,FALSE,English
Nadeshot,302157870,45135,60550,6694,1664101,264929,7075728,TRUE,TRUE,English
runthefutmarket,301655790,77175,30646,3908,410880,134773,5154520,TRUE,FALSE,English
선바 (sunbaking),301274730,89430,9440,3368,317536,86743,4456083,TRUE,FALSE,Korean
Popo,300038595,50835,41931,5902,291698,254233,6805898,TRUE,FALSE,Polish
FlexZ,298801920,121260,16672,2464,308441,224943,6059490,TRUE,FALSE,Spanish
Pimpeano,298014405,26340,103261,11314,1246987,720661,7913519,TRUE,TRUE,Spanish
TeeGrizzley,298003860,88545,35133,3365,639597,627459,3659005,TRUE,FALSE,English
JLAmaru,297403095,96525,23718,3081,239452,159043,5364466,TRUE,FALSE,French
RoyalPhunk,296962650,107775,23104,2755,223619,22209,4896035,TRUE,TRUE,German
karchez,296155965,69720,20643,4247,337442,303013,7132337,TRUE,TRUE,Spanish
CzechCloud,295557120,133290,9222,2217,355381,193877,18690824,TRUE,FALSE,Czech
LexVeldhuis,295271700,62955,27924,4690,275618,44559,6488304,TRUE,FALSE,English
Kaydop,294504510,51960,49397,5667,521317,340725,7555945,TRUE,FALSE,French
NeverSayYesTwitch,294208245,139305,8123,2111,314533,176368,6190777,TRUE,FALSE,French
chess24,294179235,98505,36825,2986,123180,73973,37364924,TRUE,FALSE,English
Sweatcicle,292591020,149970,58925,1950,268484,153850,4477607,TRUE,TRUE,English
QuarterJade,292362855,52155,36627,5605,677064,421919,11210547,TRUE,FALSE,English
VALORANT_Esports_TR,292287360,15090,163677,19369,294839,284234,11601350,TRUE,FALSE,Turkish
twitchgaming,291602685,19830,123325,14705,455825,430358,68339365,TRUE,FALSE,English
grenbaud,291278370,35205,42513,8273,361394,347729,3686108,TRUE,TRUE,Italian
양띵 (yd0821),291098880,30360,34991,9588,308868,33860,2702395,TRUE,FALSE,Korean
Sjow,290816460,127605,6465,2279,239590,5453,3116564,TRUE,FALSE,English
RiffTrax,290610780,518565,1628,560,89951,12684,1918523,TRUE,FALSE,English
Broeki1,290538630,172170,11289,1687,177546,32085,6216470,TRUE,TRUE,German
Delux,289581450,119325,12562,2426,379773,196373,5366736,TRUE,FALSE,Italian
SaltyBet,288763035,524775,1522,550,267864,53242,3464294,TRUE,FALSE,English
견자희 (wkgml),288723510,107130,13081,2695,497603,112784,10529246,TRUE,FALSE,Korean
FlowPodcast,288572685,88365,60602,3265,989721,895121,10551775,FALSE,TRUE,Portuguese
PG_Esports,288448620,107715,26694,2677,144726,37490,15697730,TRUE,FALSE,Italian
tarik,288357795,73320,50415,3932,866935,189479,19601878,TRUE,FALSE,English
BTSBrasilTV,288218460,517650,7291,556,212398,17579,8474843,TRUE,FALSE,Portuguese
Vlesk,288150660,75885,14575,3797,200984,167561,6732214,TRUE,FALSE,German
踢虧 (takesipon),287832450,109005,12265,2640,79252,26830,6968504,TRUE,FALSE,Chinese
VALORANT_BR,287403705,17355,86325,16560,218787,212577,6148613,TRUE,FALSE,Portuguese
Toqtir,286960020,53910,17962,5322,211451,107220,8338436,TRUE,TRUE,Turkish
Doigby,286832235,59445,54479,4825,1358504,407515,10146554,TRUE,FALSE,French
RaizQT,286801020,117690,10825,2436,180166,16980,5220839,TRUE,FALSE,English
MoMaN,286293585,162645,85656,1760,459914,115034,10174139,TRUE,TRUE,French
Whippy,285995655,114270,34930,2502,334722,247535,7058486,TRUE,TRUE,English
maxim,285980685,95280,12802,3001,377708,76376,6950426,TRUE,TRUE,German
oestagiario,285654105,153030,9906,1866,143434,86485,3312275,TRUE,TRUE,Portuguese
