Channel,Watch time,Stream time,Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
TSM_ImperialHal,1500285465,140850,56511,10651,855602,627955,28368255,TRUE,FALSE,English
SilverName,1496021820,113640,27680,13164,695008,121171,36702151,TRUE,FALSE,Russian
pokimane,1484340690,63975,138482,23201,7891135,2966232,67773740,TRUE,FALSE,English
Baiano,1477720425,90090,130745,16402,648911,330689,32599129,TRUE,TRUE,Portuguese
LCK,1477100025,35835,212049,41219,1139660,326944,32953023,TRUE,FALSE,English
Kamet0,1452481515,201585,85696,7205,866551,355152,36637687,TRUE,FALSE,French
SmiteGame,1437326430,368415,79597,3901,619334,108636,21949515,TRUE,FALSE,English
AdmiralBahroo,1406118585,144030,37443,9762,827230,58793,15163494,TRUE,FALSE,English
Jelty,1388559885,138150,68500,10051,1807271,1670702,36529164,TRUE,FALSE,Spanish
RatedEpicz,1387907595,190095,59755,7301,410127,284537,21356655,TRUE,TRUE,English
benjyfishy,1362618315,54945,114724,24799,3424787,2437249,57487679,TRUE,FALSE,English
Gorgc,1343017185,127035,29540,10572,460143,88789,22281294,TRUE,TRUE,English
BeyondTheSummit,1328878455,523140,65878,2540,985200,83958,36777391,TRUE,FALSE,English
Solary,1326858630,498540,18287,2661,547333,68488,38646744,TRUE,FALSE,French
HusKerrs,1325316135,148125,40039,8947,802237,602094,22561572,TRUE,FALSE,English
Ninja,1296092805,82320,110102,15744,16740843,1934442,58219910,TRUE,FALSE,English
FolagorLives,1290464775,156165,41580,8263,1233241,563254,25288504,TRUE,FALSE,Spanish
ZanoXVII,1284877965,101775,145938,12624,1138620,673497,13338235,TRUE,FALSE,Italian
LVPes,1280028735,96885,95207,13211,739098,196668,57706472,TRUE,FALSE,Spanish
Reborn_Live,1276756560,81285,113707,15707,1597800,1238419,31618461,TRUE,TRUE,Spanish
moistcr1tikal,1276273500,123750,59872,10313,2780303,1848506,28192879,TRUE,FALSE,English
elded,1263970680,135360,40654,9337,4074881,1836829,27991331,TRUE,FALSE,Spanish
Amar,1260177090,102930,182305,12243,1071595,598611,27679718,TRUE,FALSE,German
EsfandTV,1249402905,212490,43404,5879,830291,402190,26540090,TRUE,FALSE,English
otplol_,1247409990,161475,290837,7725,322519,284115,33135058,TRUE,FALSE,French
서새봄냥 (saddummy),1243186620,207810,35474,5982,633723,69118,36606639,TRUE,FALSE,Korean
OgamingLoL,1219713345,391905,134521,3112,539345,39367,56470597,TRUE,FALSE,French
Philza,1219576590,54780,150599,22263,2980828,2480796,29564262,TRUE,FALSE,English
Sardoche,1217689980,159120,46450,7652,994434,309659,31280054,TRUE,FALSE,French
buster,1216352745,51300,114596,23710,1832974,1066259,56128222,TRUE,FALSE,Russian
Myth,1207640205,123255,105816,9797,7225193,660159,46026549,TRUE,FALSE,English
Hiko,1193365365,75105,42136,15889,1468265,734069,32781538,TRUE,FALSE,English
Brawlhalla,1191085395,35970,162409,33113,1158327,775829,16643676,TRUE,FALSE,English
Amouranth,1184605440,216870,27539,5462,3030373,1455190,111235855,TRUE,FALSE,English
GRONKH,1177827030,67515,50517,17445,1341507,162493,16301227,TRUE,TRUE,German
KendineMuzisyen,1175903190,64635,92142,18192,2024503,753548,39052014,TRUE,FALSE,Turkish
dasMEHDI,1172746035,246810,47683,4751,385158,99165,9846855,TRUE,TRUE,English
Ponce,1170814260,147900,48193,7916,537799,343035,29742958,TRUE,TRUE,French
Stray228,1170477885,113820,26548,10283,955750,219002,27170536,TRUE,FALSE,Russian
ZeratoR,1169664150,88350,318182,13238,1098719,248929,34515723,TRUE,TRUE,French
Aydan,1166540820,160800,50693,7254,2350427,699920,19302646,TRUE,TRUE,English
lestream,1159147515,209160,60033,5541,966400,92789,37904938,TRUE,FALSE,French
nl_Kripp,1154894625,148575,36027,7773,1387657,14893,14452126,TRUE,FALSE,English
加藤純一です (kato_junichi0817),1150583175,64965,82055,17710,331875,316725,14022272,TRUE,FALSE,Japanese
Maximilian_DOOD,1126195890,108360,43253,10393,938667,126281,16203240,TRUE,FALSE,English
coscu,1111477020,87510,393619,12701,2812594,1308376,35853668,TRUE,FALSE,Spanish
Perxitaa,1107225930,82290,77009,13455,1845760,1425443,29763187,TRUE,FALSE,Spanish
Nmplol,1099947420,76365,157843,14403,792428,354413,19121002,TRUE,FALSE,English
sneakylol,1098235035,199110,21660,5515,1709643,73913,16923988,TRUE,FALSE,English
ShivFPS,1089969405,189000,38513,5767,878390,694140,22697426,TRUE,FALSE,English
Domingo,1081573995,75315,197747,14360,1103056,304364,27444869,TRUE,FALSE,French
Fresh,1074586140,101100,57431,10628,4346561,1856435,28170588,TRUE,FALSE,English
mistermv,1061800680,89715,72350,11835,679722,223846,26383682,TRUE,TRUE,French
Quackity,1056441450,17820,381550,59284,3514910,2964980,21174591,TRUE,FALSE,English
Bugha,1047973065,97830,62529,10712,4426993,2253424,45054682,TRUE,FALSE,English
NickEh30,1046296125,110460,85073,9472,2969739,1683687,33620193,TRUE,FALSE,English
SolaryFortnite,1021655295,435240,26982,2347,1735390,385264,34072484,TRUE,FALSE,French
karljacobs,1020613065,22635,263353,45090,2598602,2586644,18402547,TRUE,FALSE,English
IlloJuan,1006784085,73005,98463,13790,900537,665360,24188812,TRUE,FALSE,Spanish
pokelawls,986735220,138090,57642,7145,896549,251189,15390806,TRUE,TRUE,English
Elajjaz,983267295,156990,14352,6263,366621,29922,15814203,TRUE,FALSE,English
Ramee,972800325,182580,41892,5328,359664,234308,17093989,TRUE,FALSE,English
aceu,968288835,106785,36219,9067,1596354,973125,29604120,TRUE,TRUE,English
EWROON,965386560,98685,25012,9782,749708,296375,23868470,TRUE,FALSE,Polish
LPL,961865490,53055,142695,18129,668320,289228,34108850,TRUE,FALSE,English
blxckoutz,959129220,513525,28651,1867,1149640,840972,23163481,TRUE,FALSE,Portuguese
itsHafu,956643360,147510,66992,6485,1310760,524042,35726395,TRUE,FALSE,English
cloakzy,953373975,89265,51400,10680,2567488,591988,17026518,TRUE,FALSE,English
ops1x,952423965,191655,28116,4969,977675,871463,27201684,TRUE,FALSE,English
Chess,947099295,71040,139185,13331,643615,427607,113720380,TRUE,FALSE,English
Evelone192,930541995,28455,108037,32702,1271124,434722,31704673,TRUE,FALSE,Russian
POW3Rtv,916924170,182850,37745,5014,1585464,614452,25927429,TRUE,FALSE,Italian
x2Twins,916062165,131940,31874,6943,2438104,1617293,29589020,TRUE,FALSE,English
TFBlade,910227615,121545,33590,7488,1119716,150520,24600208,TRUE,FALSE,English
SypherPK,910040640,130950,88097,6949,4743990,1415860,26343387,TRUE,FALSE,English
Flashpoint,905232405,23280,128800,38884,404895,310353,90856999,TRUE,FALSE,English
TeePee,899901405,164640,50543,5465,668371,219506,19810889,TRUE,TRUE,English
괴물쥐123 (tmxk319),897734100,131655,60040,6818,647227,284724,24549531,TRUE,FALSE,Korean
GeorgeNotFound,893259900,14580,387003,61266,3722614,3656782,16124109,TRUE,FALSE,English
AdmiralBulldog,892193310,148545,14724,6006,739252,60362,15369838,TRUE,TRUE,English
ybicanoooobov,884832645,123810,16112,7146,571610,186563,19115070,TRUE,FALSE,Russian
IamCristinini,879387135,120225,58228,7314,2247938,1959491,46424548,TRUE,FALSE,Spanish
Jinnytty,878883255,157455,18813,5581,577441,254779,20623241,TRUE,FALSE,English
MYM_ALKAPONE,877116180,111735,21711,7849,956369,231640,12848972,TRUE,FALSE,Spanish
따효니 (ddahyoni),872948220,179865,22514,4853,342386,35731,26261451,TRUE,FALSE,Korean
Dhalucard,870968535,161040,26753,5408,410039,153694,18293138,TRUE,FALSE,German
녹두로 (nokduro),869580390,170805,23890,5091,221417,78397,15637483,TRUE,FALSE,Korean
SolaryHS,864886620,476310,7753,1815,160240,12645,16970241,TRUE,FALSE,French
Tumblurr,864611355,94365,30295,9162,674013,380234,10845678,TRUE,FALSE,Italian
StableRonaldo_,861475425,76320,78767,11287,2146435,1998285,32581100,TRUE,FALSE,English
蝦愛橘子 (shuteye_orange),853696785,306435,8312,2785,100161,17588,19896565,TRUE,TRUE,Chinese
침착맨 (zilioner),853582245,93495,43164,9129,538779,120135,27440878,TRUE,FALSE,Korean
Kyle,850197615,158550,30617,5362,344614,167593,9885631,TRUE,TRUE,English
DreamLeague,845728110,24360,131122,34717,473191,128762,21296534,TRUE,FALSE,English
uzra,842934345,187590,13335,4493,209390,18210,22725549,TRUE,FALSE,Chinese
Brunenger,840040335,83685,151531,10038,998371,643812,21270344,TRUE,FALSE,Spanish
Squeezie,835917015,31935,117304,26175,2847227,856873,21780044,TRUE,FALSE,French
SPYGEA,834074655,137895,30473,6048,365560,173815,19725917,TRUE,FALSE,Japanese
eliasn97,824948160,40500,85341,20369,482353,422638,6909119,FALSE,FALSE,German
its_iron,823643790,151305,18721,5443,402542,380079,8369532,TRUE,TRUE,English
knekro,816000675,126480,52659,6451,526957,289841,21489832,TRUE,FALSE,Spanish
Locklear,813908325,103995,31695,7826,1278756,534622,23856473,TRUE,FALSE,French
ElmiilloR,800342715,126660,36786,6318,720205,316791,25626139,TRUE,FALSE,Spanish
Insomniac,796143330,521415,43114,1526,472494,237106,111313776,TRUE,FALSE,English
VALORANT,792142335,80985,194653,9781,1041359,1031022,37164055,TRUE,FALSE,English
ClassyBeef,787892385,329715,11355,2389,162831,73847,8065326,FALSE,TRUE,English
casimito,783324000,132105,50495,5929,392062,360531,9547333,TRUE,TRUE,Portuguese
Jahrein,782755860,54450,316703,14375,1650353,262314,24459392,TRUE,FALSE,Turkish
5uppp,779188560,99060,49155,7865,883876,879458,18458052,TRUE,FALSE,English
PapoMC,769648200,74205,146890,10371,1679947,1653424,25067515,TRUE,TRUE,Spanish
imls,767674950,88050,42594,8718,524344,179091,14776721,TRUE,FALSE,English
Yassuo,765969435,110385,68576,6939,2002205,174002,26740014,TRUE,TRUE,English
RATIRL,754011495,134715,15026,5597,568151,189952,16407212,TRUE,TRUE,English
Alexby11,752188200,75090,70418,10017,2593858,1436618,25751971,TRUE,FALSE,Spanish
wtcN,748931790,70860,89105,10569,2420639,670899,39295729,TRUE,TRUE,Turkish
